id1,id2,distance
dames-2022-time__10,dames-2022-time__1,10.770329614269007
dames-2022-time__10,dames-2022-time__10,0.0
dames-2022-time__10,dames-2022-time__100,14.177446878757825
dames-2022-time__10,dames-2022-time__101,6.855654600401044
dames-2022-time__10,dames-2022-time__102,14.177446878757825
dames-2022-time__10,dames-2022-time__103,10.099504938362077
dames-2022-time__10,dames-2022-time__104,9.486832980505138
dames-2022-time__10,dames-2022-time__105,14.52583904633395
dames-2022-time__10,dames-2022-time__106,13.527749258468683
dames-2022-time__10,dames-2022-time__11,8.306623862918075
dames-2022-time__10,dames-2022-time__12,13.96424004376894
dames-2022-time__10,dames-2022-time__13,12.0
dames-2022-time__10,dames-2022-time__14,8.0
dames-2022-time__10,dames-2022-time__16,13.341664064126334
dames-2022-time__10,dames-2022-time__17,9.055385138137417
dames-2022-time__10,dames-2022-time__18,12.489995996796797
dames-2022-time__10,dames-2022-time__19,8.660254037844387
dames-2022-time__10,dames-2022-time__2,9.643650760992955
dames-2022-time__10,dames-2022-time__21,7.416198487095663
dames-2022-time__10,dames-2022-time__22,14.247806848775006
dames-2022-time__10,dames-2022-time__23,13.341664064126334
dames-2022-time__10,dames-2022-time__24,10.770329614269007
dames-2022-time__10,dames-2022-time__25,10.954451150103322
dames-2022-time__10,dames-2022-time__26,10.862780491200215
dames-2022-time__10,dames-2022-time__27,12.609520212918492
dames-2022-time__10,dames-2022-time__28,8.426149773176359
dames-2022-time__10,dames-2022-time__29,7.874007874011811
dames-2022-time__10,dames-2022-time__3,11.40175425099138
dames-2022-time__10,dames-2022-time__30,12.206555615733702
dames-2022-time__10,dames-2022-time__31,9.797958971132712
dames-2022-time__10,dames-2022-time__32,10.862780491200215
dames-2022-time__10,dames-2022-time__33,9.9498743710662
dames-2022-time__10,dames-2022-time__35,15.231546211727817
dames-2022-time__10,dames-2022-time__36,7.14142842854285
dames-2022-time__10,dames-2022-time__37,10.198039027185569
dames-2022-time__10,dames-2022-time__38,10.63014581273465
